"File","Size","Lines","Extension"
"reports\jscpd\html\jscpd-report.json","51917363","0",".json"
"reports\jscpd\jscpd-report.json","51917252","0",".json"
"reports\jscpd\html\index.html","40609145","711818",".html"
"reports\jscpd\html\styles\tailwind.css","2934020","1",".css"
"_quarantine\experiments\playwright-report\index.html","488767","73",".html"
"package-lock.json","398908","0",".json"
"_quarantine\backups\backup index's 09012025\index_broken.html","356768","9148",".html"
"_quarantine\backups\backup index's 09012025\Index_Backup.html","356317","9135",".html"
"_quarantine\experiments\Fixes\index_UX_improvements_v2.html","302901","7666",".html"
"_quarantine\experiments\Fixes\index_broken_after_playwright_fixes_applied_2025-08-31_16-07.html","300126","7619",".html"
"_quarantine\backups\backup index's 09012025\index_backup_flickword_stats.html","299961","6909",".html"
"_quarantine\experiments\Fixes\index_UX_improvements_v1.html","286066","7085",".html"
"_quarantine\experiments\Fixes\index_production_pre_beta_modified_feedback_instructions.html","284471","7048",".html"
"_quarantine\experiments\Fixes\index_production_ready_pre_beta_test_08312025.html","284374","7063",".html"
"_quarantine\experiments\Fixes\index_flickword_path_fixed_2024-12-19.html","283576","7073",".html"
"_quarantine\experiments\Fixes\index_flickword_error_fixed_2024-12-19.html","283574","7073",".html"
"_quarantine\experiments\Fixes\index_flickword_multiple_initialization_attempts_2024-12-19.html","283500","7072",".html"
"_quarantine\backups\backup index's 09012025\indexb4l18Nstrip.html","282916","6556",".html"
"_quarantine\experiments\Fixes\index_flickword_initialization_timing_fixed_2024-12-19.html","282796","7058",".html"
"_quarantine\experiments\Fixes\index_flickword_button_debugging_2024-12-19.html","282611","7056",".html"
"_quarantine\backups\backup index's 09012025\index_2strip.html","282017","6531",".html"
"_quarantine\experiments\Fixes\index_flickword_home_visibility_critical_fix_2024-12-19.html","281967","7042",".html"
"_quarantine\experiments\Fixes\index_flickword_initialization_fixed_2024-12-19.html","281327","7028",".html"
"_quarantine\experiments\Fixes\index_flickword_all_duplicates_removed_2024-12-19.html","280480","7009",".html"
"_quarantine\experiments\Fixes\index_flickword_tab_visibility_fixed_2024-12-19.html","280461","7009",".html"
"_quarantine\experiments\Fixes\index_flickword_visible_and_clean_2024-12-19.html","280457","7009",".html"
"_quarantine\experiments\Fixes\index_flickword_duplicates_removed_2024-12-19.html","280241","7009",".html"
"_quarantine\experiments\Fixes\index_flickword_positioned_and_snarky_2024-12-19.html","275580","6861",".html"
"_quarantine\experiments\Fixes\index_flickword_integration_complete_2024-12-19.html","274654","6842",".html"
"_quarantine\experiments\Fixes\index_new_independent_username_system_2024-12-19.html","265400","6581",".html"
"_quarantine\experiments\Fixes\index_preFlicWord_production_ready_2024-12-19.html","265400","6581",".html"
"_quarantine\experiments\Fixes\index_header_guard_clause_fixed_2024-12-19.html","262577","6527",".html"
"_quarantine\experiments\Fixes\index_old_header_system_disabled_2024-12-19.html","262456","6520",".html"
"_quarantine\experiments\Fixes\index_header_debounced_fixed_2024-12-19.html","262397","6522",".html"
"_quarantine\experiments\Fixes\index_new_left_container_added_2024-12-19.html","262386","6521",".html"
"_quarantine\experiments\Fixes\index_header_aligned_with_clear_button_2024-12-19.html","262362","6522",".html"
"_quarantine\experiments\Fixes\index_header_timing_fixed_2024-12-19.html","262333","6521",".html"
"_quarantine\experiments\Fixes\index_header_duplicate_call_fixed_2024-12-19.html","262145","6517",".html"
"_quarantine\experiments\Fixes\index_header_moved_to_right_2024-12-19.html","262060","6514",".html"
"_quarantine\experiments\Fixes\index_header_conflict_completely_fixed_2024-12-19.html","262041","6512",".html"
"_quarantine\experiments\Fixes\index_header_static_above_login_2024-12-19.html","262012","6515",".html"
"_quarantine\experiments\Fixes\index_header_restored_original_2024-12-19.html","261914","6514",".html"
"_quarantine\experiments\Fixes\index_header_visual_debugging_enhanced_2024-12-19.html","261771","6512",".html"
"_quarantine\experiments\Fixes\index_header_conflict_fixed_2024-12-19.html","261074","6496",".html"
"_quarantine\experiments\Fixes\index_header_debugging_enhanced_2024-12-19.html","259553","6475",".html"
"_quarantine\experiments\Fixes\index_username_sync_fixed_2024-12-19.html","258868","6459",".html"
"_quarantine\experiments\Fixes\index_username_header_debugging_2024-12-19.html","257814","6437",".html"
"_quarantine\experiments\Fixes\index_auto_username_setup_complete_2024-12-19.html","256986","6422",".html"
"_quarantine\experiments\Fixes\index_header_visual_debugging_2024-12-19.html","254765","6354",".html"
"_quarantine\experiments\Fixes\index_header_debugging_added_2024-12-19.html","254111","6340",".html"
"_quarantine\experiments\Fixes\index_dynamic_header_complete_working_2024-12-19.html","253973","6339",".html"
"_quarantine\experiments\Fixes\index_dynamic_header_complete_2024-12-19.html","252647","6313",".html"
"_quarantine\experiments\Fixes\index_header_updated_2024-12-19.html","250372","6263",".html"
"_quarantine\experiments\Fixes\index_custom_username_modal_complete_2024-12-19.html","250352","6263",".html"
"_quarantine\experiments\Fixes\index_notifications_explained_2024-12-19.html","248194","6215",".html"
"_quarantine\experiments\Fixes\index_buttons_resized_2024-12-19.html","247969","6212",".html"
"_quarantine\experiments\Fixes\index_buttons_stacked_with_descriptions_2024-12-19.html","247935","6212",".html"
"_quarantine\experiments\Fixes\index_custom_username_modal_2024-12-19.html","247772","6204",".html"
"_quarantine\experiments\Fixes\index_list_sharing_fixed_2024-12-19.html","246580","6186",".html"
"_quarantine\experiments\Fixes\index_settings_cleaned_2024-12-19.html","245836","6171",".html"
"_quarantine\experiments\Fixes\index_share_functionality_working_2024-12-19.html","240782","6044",".html"
"_quarantine\experiments\Fixes\index_everything_functional_including_spanish_2024-12-19.html","223822","5646",".html"
"_quarantine\experiments\Fixes\index_search_and_tv_movie_card_shuffle_works_2024-12-19.html","217395","5508",".html"
"_quarantine\experiments\Fixes\index_broken_auth_after_data_sync_fix_2024-12-19.html","216978","5495",".html"
"snapshots\20250112-1700\staging\www\scripts\inline-script-02.js","213544","4883",".js"
"backups\backup_v23.78_before_merge_20250112_093803\scripts\inline-script-02.js","211931","4848",".js"
"snapshots\20250112-1600\www\scripts\inline-script-02.js","211931","4848",".js"
"snapshots\20250112-1220-phase-b-complete\www\scripts\inline-script-02.js","211931","4848",".js"
"snapshots\20250112-1215\www\scripts\inline-script-02.js","211931","4848",".js"
"snapshots\20250112-1500\www\scripts\inline-script-02.js","211931","4848",".js"
"snapshots\20250112-1700\staging\scripts\inline-script-02.js","211931","4848",".js"
"backups\backup_v23.78_before_merge_20250914_093719\scripts\inline-script-02.js","211931","4848",".js"
"www\scripts\inline-script-02.js","211931","4848",".js"
"snapshots\20250112-1415\www\scripts\inline-script-02.js","208887","4798",".js"
"snapshots\20250112-1400\www\scripts\inline-script-02.js","208887","4798",".js"
"backups\backup_v14.3_20250908_165215\scripts\inline-script-02.js","208682","4789",".js"
"backups\backup_v14.4_card_standardization_20250908_171454\scripts\inline-script-02.js","208682","4789",".js"
"backups\backup_v23.25_duplicate_fix_20250912_1051\scripts\inline-script-02.js","208291","4785",".js"
"_quarantine\experiments\Fixes\index_fixed_theme_and_mardi_gras_2024-12-19.html","206363","5218",".html"
"_quarantine\experiments\Fixes\index_fixed_signin_prompts_and_tabs_2024-12-19.html","203322","5147",".html"
"_quarantine\experiments\Fixes\index_working_signin_and_tabs_2024-12-19.html","192923","4939",".html"
"backups\backup_v14.4_card_standardization_20250908_171454\scripts\inline-script-01.js","190994","4466",".js"
"backups\backup_v14.3_20250908_165215\scripts\inline-script-01.js","190943","4464",".js"
"backups\backup_v23.25_duplicate_fix_20250912_1051\scripts\inline-script-01.js","189986","4429",".js"
"snapshots\20250112-1415\www\scripts\inline-script-01.js","189986","4429",".js"
"snapshots\20250112-1400\www\scripts\inline-script-01.js","189986","4429",".js"
"_quarantine\experiments\Fixes\Index_working_signin_2024-12-19.html","185361","4764",".html"
"snapshots\20250112-1215\www\scripts\inline-script-01.js","183153","4242",".js"
"snapshots\20250112-1220-phase-b-complete\www\scripts\inline-script-01.js","183153","4242",".js"
"snapshots\20250112-1600\www\scripts\inline-script-01.js","183153","4242",".js"
"backups\backup_v23.78_before_merge_20250112_093803\scripts\inline-script-01.js","183153","4242",".js"
"snapshots\20250112-1700\staging\www\scripts\inline-script-01.js","183153","4242",".js"
"backups\backup_v23.78_before_merge_20250914_093719\scripts\inline-script-01.js","183153","4242",".js"
"snapshots\20250112-1500\www\scripts\inline-script-01.js","183153","4242",".js"
"snapshots\20250112-1700\staging\scripts\inline-script-01.js","183153","4242",".js"
"www\scripts\inline-script-01.js","183153","4242",".js"
"_quarantine\backups\backup_20250903_181036\www\www\scripts\inline-script-02.js","172786","3887",".js"
"_quarantine\backups\backup_20250903_181036\www\scripts\inline-script-02.js","172786","3887",".js"
"backups\backup_v14.3_20250908_165215\split_exact\scripts\inline-script-02.js","172345","3949",".js"
"backups\backup_v14.4_card_standardization_20250908_171454\split_exact\scripts\inline-script-02.js","172345","3949",".js"
